id,equipment,airline,name,class1,class2,class3,class4,seats1,seats2,seats3,seats4
573,2733,137,Airbus A320 African and Middle East,Business,Economy,,,26,120,,
574,2733,137,Airbus A320 Caribbean,Premium Economy,Economy,,,10,156,,
575,2733,137,Airbus A320 Europe,Premium Business,Premium Economy,Economy,,30,42,78,
576,2733,137,Airbus A320 Metropole,Economy,,,,178,,,
577,2734,137,Airbus A321 Europe,Business,Premium Economy,Economy,,39,48,93,
578,2734,137,Airbus A321 Metropole,Economy,,,,212,,,
607,2827,1767,Boeing 787-8,First,Business,Economy,,4,24,200,
621,2736,751,Airbus A330-200 Vers. 1,Business,Economy,,,12,271,,
622,2736,751,Airbus A330-200 Vers. 2,Business,Economy,,,36,215,,
624,2790,751,Boeing 747-400,First,Business,Economy,,10,42,292,
625,2795,751,Boeing 747-400 Combi,First,Business,Economy,,10,24,246,
626,2814,751,Boeing 767-300,First,Business,Economy,,10,26,189,
627,2812,751,Boeing 767-300ER,Business,Economy,,,30,189,,
630,2824,751,Boeing 777-300ER,First,Business,Economy,,8,42,261,
631,2729,751,Airbus A319,First,Economy,,,8,120,,
632,2733,751,Airbus A320,First,Economy,,,8,150,,
633,2734,751,Airbus A321,First,Economy,,,12,173,,
634,2766,751,Boeing 737-300,First,Economy,,,8,120,,
635,2770,751,Boeing 737-700,First,Economy,,,8,120,,
636,2771,751,Boeing 737-800,First,Economy,,,8,159,,
638,2808,751,Boeing 757-200,First,Economy,,,8,192,,
604,2746,1767,Airbus A380,Platinum Private,First,Economy,,8,70,428,
608,2729,1767,Airbus A319,First,Premium Economy,Economy,,4,24,90,
609,2733,1767,Airbus A320,First,Premium Economy,Economy,,8,24,120,
532,3083,3320,Boeing 747-8 V1,First,Business,Economy,,8,92,262,
533,3083,3320,Boeing 747-8 V2,First,Business,Economy,,8,80,298,
539,2968,3320,Embraer E-190,Business,Economy,,,8,92,,
540,2969,3320,Embraer E-195,Business,Economy,,,8,104,,
541,2897,3320,Bombardier CRJ-700,Business,Economy,,,9,56,,
542,2898,3320,Bombardier CRJ-900,Business,Economy,,,10,68,,
543,2861,3320,ATR 72,Business,Economy,,,9,56,,
579,2966,137,Embraer E-170,Business,Economy,,,20,56,,
580,2968,137,Embraer E-190,Business,Economy,,,28,72,,
581,2856,137,RJ-85 Avroliner,Economy,,,,95,,,
582,2895,137,Bombardier CRJ-100,Economy,,,,50,,,
583,3082,137,Bombardier CRJ-1000,Economy,,,,100,,,
584,2897,137,Bombardier CRJ-700,Economy,,,,72,,,
585,2973,137,Embraer ERJ-135,Economy,,,,37,,,
586,2974,137,Embraer ERJ-145,Economy,,,,50,,,
587,2983,137,Fokker F-50,Economy,,,,50,,,
602,2737,1767,Airbus A330-200 Version 2,First,Business,Premium Economy,Economy,4,24,40,142
605,2819,1767,Boeing 777-200A,Business,Premium Economy,Economy,,18,40,316,
606,2819,1767,Boeing 777-200B,First,Business,Economy,,24,53,207,
623,2738,751,Airbus A330-300 Version 2,Business,Premium Economy,Economy,,30,16,255,
628,2819,751,Boeing 777-200 V1,First,Business,Economy,,12,49,253,
629,2819,751,Boeing 777-200 V2,Business,Premium Economy,Economy,,30,63,217,
637,2771,751,Boeing 737-800 V2,First,Economy,,,12,147,,
410,2967,2009,Embraer E-175,First,Economy Comfort,Economy,,12,12,52,
412,3034,2009,McDonnell Douglas MD-88,First,Economy Comfort,Economy,,16,15,118,
413,3035,2009,McDonnell Douglas MD-90,First,Economy Comfort,Economy,,16,15,129,
414,2895,2009,Bombardier CRJ-100,Economy,,,,50,,,
415,2896,2009,Bombardier CRJ-200,Economy,,,,50,,,
400,2806,2009,Boeing 757-200,Business Elite,Economy Comfort,Economy,,24,20,136,
603,2738,1767,Airbus A330-300,First,Business,Premium Economy,Economy,4,24,48,232
544,2952,3320,Bombardier Q400,Business,Economy,,,8,54,,
601,2737,1767,Airbus A330-200 Version 1,First,Premium Economy,Economy,,24,50,184,
411,2936,2009,McDonnell Douglas DC9-50,First,Economy Comfort,Economy,,16,14,90,
416,2897,2009,Bombardier CRJ-700,First,Economy Comfort,Economy,,9,8,48,
417,2898,2009,Bombardier CRJ-900,First,Economy Comfort,Economy,,12,12,52,
418,2974,2009,Embraer ERJ-145,Economy,,,,50,,,
419,2970,2009,Embraer EMB-120,Economy,,,,28,,,
